Transaction_ID,order_date,month,Product_Category,Product_Name,price_eur,Payment_Status,is_revenue,revenue_eur,has_return,return_flag,total_refund_eur
100236,2023-11-24,2023-11,Electronics,Smartphone Z,919.2,Paid,True,919.2,False,0,0.0
100061,2023-11-17,2023-11,Electronics,Laptop X,1598.23,Paid,True,1598.23,False,0,0.0
101131,2023-12-14,2023-12,Smart Home,NordPlug,23.86,Paid,True,23.86,False,0,0.0
100391,2023-11-28,2023-11,Smart Home,NordTherm,94.56240000000001,Paid,True,94.56240000000001,False,0,0.0
100319,2023-11-27,2023-11,Accessories,Phone Case,35.72,Paid,True,35.72,False,0,0.0
100889,2023-12-09,2023-12,Electronics,NoiseCancel Headphones,230.36,Paid,True,230.36,False,0,0.0
100105,2023-11-19,2023-11,Smart Home,NordCam Mini,82.4,Paid,True,82.4,False,0,0.0
100603,2023-12-04,2023-12,Electronics,Laptop X,1771.94,Paid,True,1771.94,False,0,0.0
101189,2023-11-28,2023-11,Smart Home,NordLock Pro,210.88,Paid,True,210.88,False,0,0.0
100563,2023-12-03,2023-12,Electronics ,Smartphone Z,855.14,Paid,True,855.14,True,1,855.14
100366,2023-11-28,2023-11, Electronics ,Smartphone Z,1024.64,Paid,True,1024.64,False,0,0.0
100996,2023-12-12,2023-12,Smart Home,NordLock Pro,222.61,Paid,True,222.61,False,0,0.0
100043,2023-11-16,2023-11,Electronics ,TV Pro,1082.799,Paid,True,1082.799,False,0,0.0
100725,2023-12-06,2023-12, Accessories,Laptop Sleeve,27.13,Paid,True,27.13,False,0,0.0
100456,2023-11-30,2023-11, Smart Home ,NordTherm,105.45,Paid,True,105.45,False,0,0.0
100537,2023-12-02,2023-12,Electronics,NoiseCancel Headphones,290.46,Paid,True,290.46,False,0,0.0
101176,2023-11-24,2023-11,Accessories,Phone Case,34.84,Paid,True,34.84,False,0,0.0
101058,2023-12-13,2023-12,Electronics,Laptop X,1504.82,Paid,True,1504.82,False,0,0.0
100032,2023-11-16,2023-11,Electronics,Laptop X,1474.0965,Paid,True,1474.0965,False,0,0.0
100455,2023-11-30,2023-11, Smart Home ,NordLock Pro,205.04,Paid,True,205.04,False,0,0.0
100354,2023-11-28,2023-11, Smart Home ,NordLock Pro,201.09,Paid,True,201.09,False,0,0.0
101181,2023-12-08,2023-12,Accessories,Accessory Bundle,27.11,Paid,True,27.11,False,0,0.0
100062,2023-11-17,2023-11, Smart Home ,NordLock Pro,221.97,Paid,True,221.97,False,0,0.0
100858,2023-12-09,2023-12,Electronics,TV Pro,1060.25,Failed,False,0.0,False,0,0.0
101049,2023-12-13,2023-12, Electronics ,NoiseCancel Headphones,288.0,Paid,True,288.0,False,0,0.0
100686,2023-12-05,2023-12,Electronics,Tablet A,753.9,Paid,True,753.9,False,0,0.0
100233,2023-11-24,2023-11,Electronics,TV Pro,1041.16,Paid,True,1041.16,False,0,0.0
100094,2023-11-18,2023-11, Accessories ,Charger,28.32,Paid,True,28.32,False,0,0.0
100215,2023-11-23,2023-11,Electronics,Smartphone Z,1077.99,Paid,True,1077.99,False,0,0.0
100310,2023-11-26,2023-11,Electronics,TV Pro,1601.36,Paid,True,1601.36,False,0,0.0
100202,2023-11-23,2023-11, Smart Home ,NordLock Pro,173.4264,Pending,False,0.0,False,0,0.0
100290,2023-11-25,2023-11, Accessories ,Phone Case,12.32,Paid,True,12.32,False,0,0.0
100737,2023-12-06,2023-12,Electronics,Tablet A,672.16,Paid,True,672.16,False,0,0.0
100318,2023-11-27,2023-11,Electronics,Smartphone Z,727.66,Paid,True,727.66,False,0,0.0
101141,2023-12-01,2023-12, Accessories ,Accessory Bundle,55.24,Paid,True,55.24,False,0,0.0
100891,2023-12-09,2023-12,Smart Home,NordLock Pro,212.31,Paid,True,212.31,False,0,0.0
101188,2023-12-10,2023-12, Accessories ,Wireless Mouse,32.09,Paid,True,32.09,False,0,0.0
100096,2023-11-18,2023-11,Electronics,NoiseCancel Headphones,166.52,Paid,True,166.52,False,0,0.0
100880,2023-12-09,2023-12,Smart Home,NordLock Pro,231.5,Paid,True,231.5,False,0,0.0
100070,2023-11-17,2023-11,Accessories,Accessory Bundle,86.79,Paid,True,86.79,False,0,0.0
100797,2023-12-07,2023-12,Electronics,Tablet A,583.65,Paid,True,583.65,False,0,0.0
100721,2023-12-06,2023-12,Smart Home,NordLock Pro,200.26,Paid,True,200.26,False,0,0.0
100796,2023-12-07,2023-12,Accessories,Wireless Mouse,43.57,Paid,True,43.57,False,0,0.0
100353,2023-11-28,2023-11,Electronics ,NoiseCancel Headphones,297.95,Failed,False,0.0,False,0,0.0
100352,2023-11-28,2023-11, Electronics ,Laptop X,1343.0,Paid,True,1343.0,False,0,0.0
100551,2023-12-02,2023-12,Electronics,Tablet A,445.23,Paid,True,445.23,False,0,0.0
100404,2023-11-29,2023-11, Smart Home ,NordTherm,83.85,Paid,True,83.85,False,0,0.0
100715,2023-12-06,2023-12,Electronics,NoiseCancel Headphones,330.75,Paid,True,330.75,False,0,0.0
100170,2023-11-22,2023-11,Electronics,TV Pro,1050.2,Failed,False,0.0,False,0,0.0
100431,2023-11-29,2023-11,Smart Home,NordLock Pro,193.31,Paid,True,193.31,False,0,0.0
100608,2023-12-04,2023-12,Smart Home,NordTherm,81.21,Paid,True,81.21,False,0,0.0
100648,2023-12-05,2023-12,Electronics ,Smartphone Z,834.38,Paid,True,834.38,False,0,0.0
100623,2023-12-04,2023-12,Accessories,Laptop Sleeve,43.96,Paid,True,43.96,False,0,0.0
100341,2023-11-27,2023-11,Electronics,NoiseCancel Headphones,300.7,Paid,True,300.7,False,0,0.0
100742,2023-12-07,2023-12, Accessories ,USB-C Cable,10.69,Paid,True,10.69,False,0,0.0
100873,2023-12-09,2023-12,Electronics,Smartphone Z,863.18,Paid,True,863.18,False,0,0.0
100078,2023-11-18,2023-11,Electronics,Tablet A,527.12,Paid,True,527.12,False,0,0.0
101143,2023-12-10,2023-12,Electronics ,TV Pro,970.6,Paid,True,970.6,False,0,0.0
100910,2023-12-10,2023-12,Smart Home,NordLock Pro,181.92,Failed,False,0.0,False,0,0.0
100432,2023-11-29,2023-11,Smart Home,NordLock Pro,187.29,Failed,False,0.0,False,0,0.0
100272,2023-11-25,2023-11, Electronics ,TV Pro,1118.62,Paid,True,1118.62,False,0,0.0
100081,2023-11-18,2023-11,Electronics,Tablet A,372.51,Paid,True,372.51,False,0,0.0
100280,2023-11-25,2023-11,Accessories,Charger,39.36,Paid,True,39.36,False,0,0.0
100837,2023-12-08,2023-12,Electronics,Tablet A,702.29,Paid,True,702.29,False,0,0.0
100506,2023-12-01,2023-12, Accessories,Screen Protector,7.12,Paid,True,7.12,False,0,0.0
100364,2023-11-28,2023-11,Electronics,TV Pro,1018.2849000000001,Paid,True,1018.2849000000001,False,0,0.0
101173,2023-12-07,2023-12,Electronics ,Tablet A,592.2239999999999,Paid,True,592.2239999999999,False,0,0.0
100612,2023-12-04,2023-12, Accessories,Charger,35.09,Pending,False,0.0,False,0,0.0
100040,2023-11-16,2023-11,Electronics,Laptop X,1653.4,Paid,True,1653.4,False,0,0.0
101085,2023-12-13,2023-12,Smart Home,NordCam Mini,91.86,Paid,True,91.86,False,0,0.0
100412,2023-11-29,2023-11,Electronics,TV Pro,1261.41,Paid,True,1261.41,False,0,0.0
100278,2023-11-25,2023-11,Smart Home,NordLock Pro,247.91,Paid,True,247.91,False,0,0.0
101101,2023-12-14,2023-12,Smart Home,NordLock Pro,211.15,Paid,True,211.15,False,0,0.0
100565,2023-12-03,2023-12,Smart Home,NordLock Pro,185.0,Paid,True,185.0,False,0,0.0
100827,2023-12-08,2023-12, Electronics ,Tablet A,618.5151000000001,Paid,True,618.5151000000001,True,1,665.07
100561,2023-12-03,2023-12,Electronics,Tablet A,771.78,Paid,True,771.78,False,0,0.0
101183,2023-11-21,2023-11,Accessories,Charger,30.35,Paid,True,30.35,False,0,0.0
100426,2023-11-29,2023-11,Accessories,Screen Protector,8.360700000000001,Failed,False,0.0,False,0,0.0
100345,2023-11-27,2023-11,Electronics,TV Pro,1536.64,Paid,True,1536.64,False,0,0.0
100998,2023-12-12,2023-12,Accessories,Laptop Sleeve,23.36,Failed,False,0.0,False,0,0.0
101047,2023-12-13,2023-12,Electronics,Tablet A,441.24,Paid,True,441.24,False,0,0.0
100471,2023-11-30,2023-11, Smart Home ,NordLock Pro,168.32070000000002,Paid,True,168.32070000000002,False,0,0.0
100303,2023-11-26,2023-11, Smart Home ,NordLock Pro,224.82,Paid,True,224.82,False,0,0.0
101002,2023-12-12,2023-12,Electronics,Tablet A,318.91,Paid,True,318.91,False,0,0.0
100570,2023-12-03,2023-12, Accessories,Laptop Sleeve,19.23,Paid,True,19.23,False,0,0.0
100058,2023-11-17,2023-11,Electronics,TV Pro,914.97,Paid,True,914.97,False,0,0.0
100395,2023-11-29,2023-11,Electronics,NoiseCancel Headphones,180.76,Paid,True,180.76,False,0,0.0
100093,2023-11-18,2023-11,Electronics ,Smartphone Z,894.13,Paid,True,894.13,False,0,0.0
100798,2023-12-08,2023-12, Accessories ,Laptop Sleeve,41.56,Paid,True,41.56,False,0,0.0
100573,2023-12-03,2023-12,Electronics,Laptop X,1597.38,Paid,True,1597.38,False,0,0.0
100484,2023-12-01,2023-12, Smart Home ,NordCam Mini,80.0,Paid,True,80.0,False,0,0.0
100261,2023-11-25,2023-11, Electronics ,NoiseCancel Headphones,258.75,Paid,True,258.75,True,1,258.75
100084,2023-11-18,2023-11, Accessories,Wireless Mouse,56.31,Paid,True,56.31,False,0,0.0
100592,2023-12-03,2023-12,Smart Home,NordLock Pro,189.75,Paid,True,189.75,False,0,0.0
100003,2023-11-15,2023-11,Electronics,Laptop X,1446.04,Paid,True,1446.04,False,0,0.0
100042,2023-11-16,2023-11,Accessories,Charger,18.8,Paid,True,18.8,False,0,0.0
100327,2023-11-27,2023-11,Electronics,Laptop X,1336.875,Paid,True,1336.875,False,0,0.0
100087,2023-11-18,2023-11, Accessories,Accessory Bundle,32.79,Paid,True,32.79,False,0,0.0
100457,2023-11-30,2023-11,Accessories,Screen Protector,5.0,Paid,True,5.0,False,0,0.0
100965,2023-12-11,2023-12, Accessories ,Screen Protector,12.26,Paid,True,12.26,False,0,0.0
101028,2023-12-12,2023-12,Accessories,Wireless Mouse,31.71,Paid,True,31.71,False,0,0.0
100731,2023-12-06,2023-12,Electronics,TV Pro,1405.31,Paid,True,1405.31,False,0,0.0
100852,2023-12-09,2023-12, Accessories ,USB-C Cable,18.62,Paid,True,18.62,False,0,0.0
100916,2023-12-10,2023-12,Electronics ,Laptop X,1608.63,Paid,True,1608.63,False,0,0.0
101071,2023-12-13,2023-12,Accessories,Wireless Mouse,26.47,Paid,True,26.47,False,0,0.0
101160,2023-11-25,2023-11,Accessories,Phone Case,19.93,Paid,True,19.93,False,0,0.0
100108,2023-11-19,2023-11, Smart Home ,NordPlug,23.1477,Paid,True,23.1477,False,0,0.0
100690,2023-12-06,2023-12, Smart Home ,NordLock Pro,179.40630000000002,Paid,True,179.40630000000002,False,0,0.0
100986,2023-12-11,2023-12,Accessories,Charger,45.19,Paid,True,45.19,False,0,0.0
100747,2023-12-07,2023-12, Accessories ,Screen Protector,10.527600000000001,Paid,True,10.527600000000001,False,0,0.0
101059,2023-12-13,2023-12,Smart Home,NordLock Pro,202.54,Paid,True,202.54,False,0,0.0
101184,2023-11-28,2023-11,Smart Home,NordLock Pro,210.88,Paid,True,210.88,False,0,0.0
100165,2023-11-22,2023-11, Electronics ,Smartphone Z,717.0858,Paid,True,717.0858,False,0,0.0
100779,2023-12-07,2023-12,Electronics,TV Pro,916.41,Paid,True,916.41,False,0,0.0
100039,2023-11-16,2023-11,Accessories,Accessory Bundle,91.93,Paid,True,91.93,False,0,0.0
100149,2023-11-21,2023-11,Electronics,Tablet A,475.44,Paid,True,475.44,False,0,0.0
100068,2023-11-17,2023-11,Accessories,Accessory Bundle,84.63,Paid,True,84.63,False,0,0.0
100260,2023-11-25,2023-11, Electronics ,Smartphone Z,706.61,Paid,True,706.61,False,0,0.0
100558,2023-12-03,2023-12,Electronics,Tablet A,331.47060000000005,Paid,True,331.47060000000005,False,0,0.0
100184,2023-11-22,2023-11, Smart Home ,NordLock Pro,210.27,Paid,True,210.27,False,0,0.0
101079,2023-12-13,2023-12,Accessories,Charger,40.81,Paid,True,40.81,False,0,0.0
101094,2023-12-14,2023-12,Electronics,Laptop X,1326.3,Paid,True,1326.3,False,0,0.0
100944,2023-12-11,2023-12,Electronics,NoiseCancel Headphones,157.39,Paid,True,157.39,False,0,0.0
100054,2023-11-17,2023-11,Electronics,Laptop X,1798.82,Paid,True,1798.82,False,0,0.0
100617,2023-12-04,2023-12,Electronics,Tablet A,326.6253,Paid,True,326.6253,False,0,0.0
100136,2023-11-20,2023-11,Smart Home,NordTherm,85.0,Paid,True,85.0,False,0,0.0
100974,2023-12-11,2023-12,Accessories,Accessory Bundle,68.13,Paid,True,68.13,False,0,0.0
100955,2023-12-11,2023-12, Accessories,Screen Protector,5.43,Paid,True,5.43,False,0,0.0
100221,2023-11-24,2023-11, Electronics ,TV Pro,1386.66,Paid,True,1386.66,False,0,0.0
101060,2023-12-13,2023-12,Electronics ,TV Pro,1293.65,Paid,True,1293.65,False,0,0.0
100726,2023-12-06,2023-12,Electronics,NoiseCancel Headphones,281.3436,Paid,True,281.3436,False,0,0.0
101151,2023-12-11,2023-12, Accessories ,Accessory Bundle,44.45,Paid,True,44.45,False,0,0.0
100861,2023-12-09,2023-12,Smart Home,NordLock Pro,201.0,Paid,True,201.0,False,0,0.0
100329,2023-11-27,2023-11, Accessories ,Phone Case,12.21,Paid,True,12.21,False,0,0.0
100835,2023-12-08,2023-12,Electronics,Laptop X,1517.2,Paid,True,1517.2,False,0,0.0
100312,2023-11-26,2023-11,Electronics,Laptop X,1573.467,Paid,True,1573.467,False,0,0.0
100377,2023-11-28,2023-11,Accessories,USB-C Cable,19.51,Paid,True,19.51,False,0,0.0
100639,2023-12-04,2023-12,Smart Home,NordLock Pro,223.67,Paid,True,223.67,False,0,0.0
